date	p_key	part_max	part_min	etype_name	etype_cat	eorg_name	eorg_cat	etheme	eremarks	etype_ischurch	etype_isdemo
1990-01-13	439	400	0	kA	kA	kA	kA			1	0
1989-10-31	440	70	0	Gottesdienst	Kirche	kA	kA			1	1
1989-11-06	441	0	0	Friedensgebet	Kirche	kA	kA			1	1
1989-11-11	441	4000	3500	kA	kA	kA	kA	Für eine dauerhafte Wende.		0	0
1989-11-27	441	1000	0	kA	kA	kA	kA			1	0
1990-01-25	441	800	0	kA	kA	kA	kA	Mit der Forderung nach Mitsprache am Runden Tisch.		1	0
1989-12-20	442	250	0	kA	kA	kA	kA			1	0
1989-10-07	443	30	0	kA	kA	kA	kA		30 Jugendliche demonstrieren in Richtung Rostocker Innenstadt, werden unterwegs von der Polizei aufgehalten und 20 Jugendliche werden zugeführt.	1	0
1990-01-15	444	900	0	kA	kA	kA	kA	Zur Bildung eines Runden Tisches.		1	0
1989-10-18	445	8000	800	Friedensgottesdienst	Kirche	kA	kA	Für Reisefreiheit, Demokratie jetzt- oder nie und Neues Forum zulassen.		1	1
1989-10-19	445	600	200	kA	kA	kA	kA		Nach einer Veranstaltung in der Mensa der Universität findet eine Kundgebung vor der Uni mit dem Oberbürgermeister statt.	0	0
1989-10-25	445	6000	4000	Friedensgebet	Kirche	kA	kA	Für demokratische Reformen.		1	1
1989-11-01	445	8000	0	kA	kA	kA	kA			1	0
1989-11-08	445	6000	0	Friedensgebet	Kirche	kA	kA			1	1
1989-11-15	445	1400	1300	Andacht	Kirche	kA	kA	Für freie Wahlen und einer Veränderung des Artikel 1 der Verfassung der DDR.		1	1
1989-11-22	445	1200	0	kA	kA	kA	kA			1	0
1989-11-29	445	600	500	Friedensgebet	Kirche	kA	kA	Für die Auflösung der Nationalen Front.		1	1
1989-12-03	445	0	0	Menschenkette	Menschenkette/Mahnwache	Aktion Sühnezeichen	Partei	"Ein Licht für unser Land"		1	0
1989-12-04	445	150	0	Besetzung Stasi-Zentrale	Protestaktion	kA	kA	Versiegelung der Räume des MfS.		0	0
1989-12-06	445	3500	0	kA	kA	kA	kA			1	0
1989-12-08	445	200	0	kA	kA	Schüler	Schule	Für die Abschaffung des Russischunterrichtes.		1	0
1989-12-13	445	1500	0	Fürbittgottesdienst	Kirche	Neues Forum	Partei			1	1
1989-12-14	445	0	0	kA	kA	kA	kA			1	0
1990-01-09	445	1000	0	Friedensgebet	Kirche	kA	kA			1	1
1990-01-17	445	0	0	Warnstreik	Warnstreik	kA	kA			0	0
1990-01-17	445	5000	4000	Gottesdienst	Kirche	kA	kA	Gegen die SED-PDS und das MfS.		0	1
1990-01-24	445	600	0	kA	kA	kA	kA			1	0
1990-01-31	445	800	0	kA	kA	kA	kA			1	0
1990-02-06	445	4000	0	kA	kA	kA	kA			1	0
1990-04-04	445	250	0	kA	kA	kA	kA	Für eine Währungsumstellung 1:1.		1	0
1990-04-24	445	90	0	Fahrraddemonstration	Demonstration	kA	kA	Für die Schaffung von mehr Radwegen.		1	0
1989-11-14	446	1000	0	kA	kA	kA	kA			1	1
1989-12-08	446	1500	0	kA	kA	kA	kA			1	0
1990-02-24	446	5000	0	kA	kA	Bauern	Angehörige Landwirtschaft			1	0
1990-02-25	446	500	0	kA	kA	kA	kA			1	0
1990-04-14	446	1000	0	Ostermarsch	Marsch	kA	kA			1	0
1989-11-06	447	0	0	Friedensgebet	Kirche	kA	kA			1	1
1990-01-14	447	1000	0	kA	kA	kA	kA	Karl Liebknecht - Rosa Luxemburg Demonstration		1	0
1990-02-16	448	40	0	kA	kA	kA	kA			1	0
1989-11-04	449	4000	0	kA	kA	kA	kA	Demonstration zum Ferienheim des MfS, mit der Forderung das Heim an den FDGB zu übergeben.		1	0
1989-12-30	449	3500	0	kA	kA	Bürgerinitiative	Bürgerinitiative	Für die Erneuerung des Landes.		1	0
1989-12-11	450	250	0	kA	kA	kA	kA	Für die Öffnung der Grenze.		0	0
1989-12-04	451	60	0	kA	kA	kA	kA	Für die Öffnung einer Grenzübergangsstelle.		1	0
1989-12-03	452	2500	250	kA	kA	Neues Forum	Partei	Die Demonstranten fordern Einlass in die Firma IMES-GmbH, die im Verdacht von illegalen Waffenhandel steht.		1	0
1989-11-06	453	1500	0	Friedensgebet	Kirche	kA	kA			1	1
1990-01-11	453	0	0	Warnstreik	Warnstreik	kA	kA			0	0
1989-11-04	454	500	0	kA	kA	kA	kA			1	0
1989-11-08	454	5000	0	kA	kA	kA	kA			1	0
1989-12-09	454	500	0	kA	kA	kA	kA	Für die Nutzung des Ferienheimes des Ministers für Innere Angelegenheiten als Altersheim.		1	0
1990-01-15	455	0	0	kA	kA	kA	kA	Gegen die Restaurationspolitik der SED und ihres Sicherheitsapparates.		1	0
1990-01-30	456	500	0	kA	kA	kA	kA			1	0
1989-10-23	457	2000	0	kA	kA	kA	kA		Der Bürgermeister beantwortet vom Balkon des Kulturhauses aus, auf die Fragen der Bürger.	0	0
1989-10-30	457	3000	1000	Fürbittgottesdienst	Kirche	kA	kA			1	1
1989-11-04	457	2000	0	kA	kA	kA	kA		Die Dialogveranstaltung findet auf dem Sportplatz statt.	1	0
1989-11-07	457	3000	0	kA	kA	kA	kA			1	0
1989-11-13	457	500	0	Friedensgebet	Kirche	kA	kA			1	1
1989-11-20	457	1300	700	kA	kA	kA	kA			1	0
1989-11-27	457	1800	0	kA	kA	kA	kA			1	0
1989-12-05	457	7	0	kA	kA	kA	kA	7 Vertreter des Neuen Forum besichtigen mit dem Staatsanwalt das Volkspolizeikreisamt.		0	0
1989-12-11	457	1300	0	kA	kA	kA	kA			1	0
1989-12-21	457	700	0	kA	kA	kA	kA			1	0
1990-01-08	457	2000	0	kA	kA	kA	kA			1	0
1990-01-13	457	400	0	kA	kA	kA	kA			1	0
1990-01-17	457	7500	0	kA	kA	kA	kA	Gegen die Herrschaft der SED.		1	0
1989-10-07	458	50	0	Andacht	Kirche	kA	kA		Ein Schweigemarsch zur Petrikriche führt am Universitätsplatz mit dem "Brunnen der Lebensfreude" vorbei. Der Platz wird sympolisch in "Platz der unzufriedenen" umgetauft.	1	1
1989-10-19	458	10000	1500	Fürbittandacht	Kirche	kA	kA	Stasi raus, Freiheit, Neues Forum zulassen		1	1
1989-10-21	458	2000	0	kA	kA	kA	kA	Für die Zulassung des Neuen Forum und Freie Wahlen.		1	0
1989-10-26	458	25000	10000	kA	kA	kA	kA	Für freie Wahlen und die Zulassung des Neuen Forum.		1	1
1989-10-28	458	10000	0	kA	kA	kA	kA	Für Demokratie und Pressefreiheit und einen Zivilen Ersatzdienst.		1	0
1989-11-02	458	40000	20000	Friedensgebet	Kirche	kA	kA			1	1
1989-11-04	458	30000	20000	kA	kA	kA	kA	Für freie Wahlen, Pressefreiheit und den Rücktritt der Regierung.		1	0
1989-11-09	458	50000	20000	Friedensgottesdienst	Kirche	kA	kA	Für einen Erneuerungsprozeß der SED.		1	1
1989-11-12	458	11000	0	kA	kA	Gewerkschaftsleitung des Volkstheater Rostock	Künstler		Es finden insgesamt vier Demonstrationen in Rostock statt.	1	0
1989-11-16	458	20000	15000	Friedensgottesdienst	Kirche	kA	kA	Für einen Volksentscheid gegen den Führungsanspruch der SED.		1	1
1989-11-23	458	15000	0	Friedensgottesdienst	Kirche	kA	kA			1	1
1989-11-30	458	15000	0	Gebetsandacht	Kirche	kA	kA		Es finden zwei Demonstrationen statt. Die eine für die Wiedervereinigung Deutschlands und die andere für Reformen.	1	1
1989-12-02	458	2000	0	kA	kA	Neues Forum	Partei	Für die Schließung der IMES-GmbH, die in illegale Waffengeschäfte verwickelt ist.		0	0
1989-12-03	458	0	0	Menschenkette	Menschenkette/Mahnwache	Aktion Sühnezeichen	Partei	"Ein Licht für unser Land"		1	0
1989-12-04	458	0	0	Mahnwache	Menschenkette/Mahnwache	kA	kA	Mahnwache vor der Bezirksverwaltung des MfS.		0	0
1989-12-07	458	15000	0	Friedensgebet	Kirche	kA	kA			1	1
1989-12-08	458	200	0	kA	kA	Schüler	Schule	Für die Abschaffung des Russischunterrichtes.		1	0
1989-12-09	458	3000	0	kA	kA	kA	kA		Am Abend verlangen 60 Personen Einlass in das Gebäude der Bezirksleitung der SED, 50 Personen werden eingelassen.	1	0
1989-12-14	458	6000	5000	Friedensgebet	Kirche	kA	kA	Gegen alte Machtstrukturen, Gewalt und für eine Erhalt der DDR.		1	1
1989-12-19	458	30000	3000	kA	kA	Vereinigte Linke	Partei	Gegen die Vereinnahmung der DDR.		1	0
1989-12-20	458	500	0	kA	kA	Schüler	Schule	Für die Bildung von Schulräten.		1	0
1990-01-09	458	0	0	kA	kA	kA	kA			1	0
1990-01-11	458	30000	0	Gottesdienst	Kirche	kA	kA	Für ein einiges Deutschland und gegen die SED-PDS.		1	1
1990-01-14	458	350	0	kA	kA	kA	kA	Karl Liebknecht - Rosa Luxemburg Demonstration		1	0
1990-01-15	458	30000	0	kA	kA	kA	kA	Zum Gedenken an Karl Liebknecht und Rosa Luxemburg und gegen eine Restaurierung der PDS .		1	0
1990-01-17	458	0	0	Warnstreik	Warnstreik	kA	kA			0	0
1990-01-18	458	15000	0	Gottesdienst	Kirche	kA	kA	Gegen SED-PDS und das MfS und für ein vereinigtes Deutschland.		1	1
1990-01-25	458	3000	0	Gottesdienst	Kirche	kA	kA			1	1
1990-01-30	458	200	0	kA	kA	Antifa	Antifaschisten	Antifa-Tag "Nie wieder Faschismus"		1	0
1990-01-31	458	3000	0	kA	kA	kA	kA			1	0
1990-02-01	458	10000	0	Gottesdienst	Kirche	kA	kA			1	1
1990-02-06	458	2000	0	kA	kA	kA	kA			1	0
1990-02-08	458	2000	0	Bittgottesdienst	Kirche	kA	kA	Für die Fortführung des Demokratisierungsprozesses und die Auflösung des MfS.		1	1
1990-02-12	458	20000	0	kA	kA	SPD	Partei		Kundgebung mit Helmut Schmidt.	0	0
1990-02-24	458	2500	0	kA	kA	Bauern	Angehörige Landwirtschaft	Für die Beibehaltung der Ergebnisse der Bodenreform.		1	0
1990-03-03	458	2000	0	kA	kA	Bund freier Demokraten	Partei		Kundgebung mit Hans-Dietrich Genscher.	0	0
1990-03-09	458	25000	0	Wahlkundgebung	Wahlkundgebung	Allianz für Deutschland	Angehörige Staat		Kundgebung mit Helmut Kohl.	0	0
1990-03-17	458	0	0	kA	kA	Bürgerkomitee	Bürgerinitiative	"Gegen die Alte Mafia"		0	0
1990-03-22	458	0	0	kA	kA	kA	kA			1	0
1990-03-26	458	0	0	Mahnwache	Menschenkette/Mahnwache	Runder Tisch	Bürgerinitiative	Für den Rücktritt des Oberbürgermeisters und des Schulrates.	Beide traten am selben Tag zurück.	1	0
1990-03-29	458	0	0	kA	kA	Neues Forum	Partei			0	0
1990-04-05	458	5000	0	kA	kA	kA	kA			1	0
1990-04-26	458	1500	0	kA	kA	Grüne Partei	Partei	Zur Erinnerung an Tschernobyl.		1	0
1989-12-17	459	0	0	kA	kA	Angehörige der Volksmarine	Angehörige Staat	Gegen die schleppenden Reformen in den bewaffneten Organen.		1	0
1990-01-04	460	150	0	Blockade	Protestaktion	kA	kA	Es findet eine Blockade der Mülldeponie statt.		1	0
1990-01-27	460	2000	900	Umweltdemonstration	Demonstration	Neues Forum	Partei	Gegen die Mülldeponie Schöneberg am Grenzübergang Selmsdorf.		1	0
1990-03-23	460	40	0	kA	kA	kA	kA	Für die Schließung der Sondermülldeponie.		1	0
1989-09-01	461	200	0	Friedensgebet	Kirche	kA	kA		Nach einem Friedensgebet in der Nikolaikirche ziehen viele schweigend mit Kerzen zur Jakobikirche, wo ein Gesprächsforum stattfindet.	1	1
1989-10-23	461	6000	2500	Friedensgebet	Kirche	kA	kA			0	1
1989-10-27	461	0	0	Friedensgebet	Kirche	kA	kA	Für sofortige freie Wahlen und die Bildung einer Koordinierungskommission.	Rathausgespräch auf dem Alten Markt	1	1
1989-10-30	461	5000	3500	Friedensgebet	Kirche	kA	kA	"Schluß mit der Vormachtstellung der SED"	Es finden zwei Friedensgebete in der Marienkirche hintereinander statt. Es wird eine Resolution mit 6.000 Unterschriften im Rathaus überreicht, anschließend findet eine Dialgveranstaltung vor dem Rathaus statt.	1	1
1989-11-04	461	100	0	kA	kA	kA	kA		Demonstration vom Rathaus zum Theater, wo eine Resolution verlesen wird.	1	0
1989-11-05	461	10000	8000	kA	kA	Theaterschaffende	Künstler	"Theaterschaffende und ihr Publikum mit verantwortlichen Persönlichkeiten im Dialog"		0	0
1989-11-06	461	2300	1900	Friedensgebet	Kirche	kA	kA			1	1
1989-11-13	461	4000	1000	Friedensgebet	Kirche	Stralsunder 20	Bürgerinitiative	Zustand der Stralsunder Altstadt		1	1
1989-11-20	461	0	0	Friedensgebet	Kirche	Stralsunder 20	Bürgerinitiative	Für eine Änderung des Artikel 1 der Verfassung und freie und geheime Wahlen.		1	1
1989-11-21	461	600	500	kA	kA	Angehörige des Medizinischen Personals	Angehörige Öffentlicher Dienst	Für die Unterbringung der Kinderklinik im Marien-Lazeretts.		1	0
1989-11-27	461	1000	0	Friedensgebet	Kirche	Neues Forum	Partei			1	1
1989-12-03	461	0	0	Menschenkette	Menschenkette/Mahnwache	Aktion Sühnezeichen	Partei	"Ein Licht für unser Land" 		1	0
1989-12-04	461	0	0	Friedensgebet	Kirche	kA	kA	Für die Auflösung der Kampfgruppen.	Demonstration zum Gebäude des MfS.	1	1
1989-12-11	461	0	0	Friedensgebet	Kirche	kA	kA	Für eine Erneuerung der Volksbildung.	Demonstration führt zum Stadtschulamt.	1	1
1989-12-12	461	0	0	kA	kA	Arbeiter und Angestellte Bauwesen	Angehörige Wirtschaft	Für eine gerechte Entlohnung.		1	0
1989-12-13	461	3000	0	kA	kA	Lehrer, Schüler, Eltern	Schule	Gegen SED Lehrer im Schuldienst.		1	0
1989-12-18	461	2000	0	Friedensgebet	Kirche	kA	kA	Menschenkette um den Leninplatz, es wird gefordert den Platz wieder in Neuer Markt umzubennenen.		1	1
1990-01-08	461	800	0	kA	kA	kA	kA			1	0
1990-01-15	461	0	0	kA	kA	kA	kA			1	0
1990-01-29	461	1000	0	kA	kA	kA	kA			1	0
1990-02-03	461	2300	0	kA	kA	kA	kA			1	0
1990-02-05	461	1200	0	kA	kA	kA	kA			1	0
1990-02-19	461	500	0	kA	kA	kA	kA			1	0
1990-02-25	461	250	0	kA	kA	kA	kA			1	0
1990-04-18	461	150	0	kA	kA	CDU	Partei			0	0
1990-01-08	462	500	0	kA	kA	kA	kA			1	0
1990-02-20	463	1000	0	kA	kA	kA	kA			1	0
1989-11-01	464	250	0	kA	kA	kA	kA	Keine Privilegien für Volksvertreter und für die Auflösung des Stadtparlaments.		1	0
1989-11-05	464	0	0	kA	kA	kA	kA	Für freie Wahlen und gegen den Führungsanspruch der SED.		1	0
1989-11-07	464	50000	0	kA	kA	Neues Forum	Partei	Für die Umgestaltung der DDR.		1	0
1989-11-08	464	3500	0	kA	kA	kA	kA			1	0
1989-11-12	464	2000	0	kA	kA	SED	Partei			0	0
1989-11-13	464	35000	20000	kA	kA	Neues Forum	Partei	Gegen die führende Rolle der SED.		0	0
1989-11-27	464	10000	5000	kA	kA	kA	kA	Für die Änderung der Verfassung.		1	0
1989-12-04	464	5000	2000	Gottesdienst	Kirche	Neues Forum	Partei		Demonstration zur Kreisdienststelle des MfS.	1	1
1989-12-08	464	2000	0	kA	kA	kA	kA	Vor der SED-Kreisleitung wird deren symbolischen Besetzung gefeiert.		1	0
1989-12-11	464	1500	1200	kA	kA	Neues Forum	Partei	Für die Wiedervereinigung Deutschlands.		1	0
