teilnehmermax,tageseit,teilnehmerminka,teilnehmermaxka,jahr,ort,bezirk,datum,isoweekday,teilnehmermin,isoweek,tag,einwohner,url,demo,monat,yday,uniq,id,kirche,beschreibung,besonderheiten,thema,teilnehmerrelort,bundesland,aufgerufen
400,159,true,false,1990,Bansin,Rostock,13.01.1990,6,0,2,13,2878,http://www.archiv-buergerbewegung.de/index.php/demonstrationen?bezirk_ddr=Rostock&ort=Bansin,false,1,13,RostockBansin13.01.1990,0,false,"","","",13,Mecklenburg-Vorpommern,""
70,85,true,false,1989,Barth,Rostock,31.10.1989,2,0,44,31,0,http://www.archiv-buergerbewegung.de/index.php/demonstrationen?bezirk_ddr=Rostock&ort=Barth,false,10,304,RostockBarth31.10.1989,1,false,"Gottesdienst, Schweigemarsch","","",0,Mecklenburg-Vorpommern,""
0,91,true,true,1989,Bergen,Rostock,06.11.1989,1,0,45,6,19540,http://www.archiv-buergerbewegung.de/index.php/demonstrationen?bezirk_ddr=Rostock&ort=Bergen,false,11,310,RostockBergen06.11.1989,2,false,Friedensgebet,"","",0,Mecklenburg-Vorpommern,""
4000,96,false,false,1989,Bergen,Rostock,11.11.1989,6,3500,45,11,19540,http://www.archiv-buergerbewegung.de/index.php/demonstrationen?bezirk_ddr=Rostock&ort=Bergen,false,11,315,RostockBergen11.11.1989,3,false,"","",Für eine dauerhafte Wende.,20,Mecklenburg-Vorpommern,Neues Forum
1000,112,true,false,1989,Bergen,Rostock,27.11.1989,1,0,48,27,19540,http://www.archiv-buergerbewegung.de/index.php/demonstrationen?bezirk_ddr=Rostock&ort=Bergen,false,11,331,RostockBergen27.11.1989,4,false,"","","",5,Mecklenburg-Vorpommern,""
800,171,true,false,1990,Bergen,Rostock,25.01.1990,4,0,4,25,19540,http://www.archiv-buergerbewegung.de/index.php/demonstrationen?bezirk_ddr=Rostock&ort=Bergen,false,1,25,RostockBergen25.01.1990,5,false,"","",Mit der Forderung nach Mitsprache am Runden Tisch.,4,Mecklenburg-Vorpommern,VdgB (Vereinigung der gegenseitigen Bauernhilfe)
250,135,true,false,1989,Binz,Rostock,20.12.1989,3,0,51,20,6842,http://www.archiv-buergerbewegung.de/index.php/demonstrationen?bezirk_ddr=Rostock&ort=Binz,false,12,354,RostockBinz20.12.1989,6,false,"","","",3,Mecklenburg-Vorpommern,""
30,61,true,false,1989,Gehlsdorf,Rostock,07.10.1989,6,0,40,7,0,http://www.archiv-buergerbewegung.de/index.php/demonstrationen?bezirk_ddr=Rostock&ort=Gehlsdorf,false,10,280,RostockGehlsdorf07.10.1989,7,false,"","30 Jugendliche demonstrieren in Richtung Rostocker Innenstadt, werden unterwegs von der Polizei aufgehalten und 20 Jugendliche werden zugeführt.","",0,Mecklenburg-Vorpommern,""
900,161,true,false,1990,Graal-Müritz,Rostock,15.01.1990,1,0,3,15,4064,http://www.archiv-buergerbewegung.de/index.php/demonstrationen?bezirk_ddr=Rostock&ort=Graal-M%c3%bcritz,false,1,15,RostockGraal-Müritz15.01.1990,8,false,"","",Zur Bildung eines Runden Tisches.,22,Mecklenburg-Vorpommern,""
8000,72,false,false,1989,Greifswald,Rostock,18.10.1989,3,800,42,18,68270,http://www.archiv-buergerbewegung.de/index.php/demonstrationen?bezirk_ddr=Rostock&ort=Greifswald,false,10,291,RostockGreifswald18.10.1989,9,false,Friedensgottesdienst,"","Für Reisefreiheit, Demokratie jetzt- oder nie und Neues Forum zulassen.",11,Mecklenburg-Vorpommern,""
600,73,false,false,1989,Greifswald,Rostock,19.10.1989,4,200,42,19,68270,http://www.archiv-buergerbewegung.de/index.php/demonstrationen?bezirk_ddr=Rostock&ort=Greifswald,false,10,292,RostockGreifswald19.10.1989,10,false,"",Nach einer Veranstaltung in der Mensa der Universität findet eine Kundgebung vor der Uni mit dem Oberbürgermeister statt.,"",0,Mecklenburg-Vorpommern,""
